player_id,player_name,player_country
cgsm58yhkqutw1x0z31l3pvfu,Irene Burillo Escorihuela,Spain
74hoker0242ki99563qpcfue0,Nadia Podoroska,Argentina
anbidgoldbed5fc58ez59igh5,Anna Danilina,Kazakhstan
anl0i5uw5405o9h1dlymsaoyx,Daria Lodikova,Russia
7zdwd4zd0n8qcx25iheshco44,Ella Seidel,Germany
2mpg7ock3o3rkezamd0l3katd,Anna-Lena Friedsam,Germany
azqjlao8phquoemoac541in10,Maria Timofeeva,Russia
42yk2naa7o6y9fibcah75eklh,Ulrikke Eikeri,Norway
b9auo7etj2slimdju4dz30l08,Sachia Vickery,USA
ckw0ygpt1t0tg9eiwj7ebma5x,Danielle Collins,USA
